,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
272,BCD Travel,3.9,10000+ Employees,Travel Agencies,1.1T,175,58,20 office locations
273,Capco,3.7,5001 to 10000 Employees,Business Consulting,3.2T,484,550,29 office locations
274,SelfMade,4.4,1 to 50 Employees,Internet & Web Services,588,435,2,132 Mulberry 3E 
275,MH Alshaya,4.0,10000+ Employees,Other Retail Shops,1.2T,205,53,"Headquarters in Kuwait, Kuwait"
276,Compass,3.6,1001 to 5000 Employees,Enterprise Software & Network Solutions,2.2T,84,36,30 office locations
277,3dplm Software Solution,3.8,1001 to 5000 Employees,Computer Hardware Development,495,346,4,"Headquarters in Pune, India"
278,Estée Lauder Companies,3.8,10000+ Employees,Consumer Product Manufacturing,5T,48,2.1T,25 office locations
279,Digitas,3.7,5001 to 10000 Employees,Advertising & Public Relations,1.9T,198,193,11 office locations
280,Testa Technologies,4.7,501 to 1000 Employees,Software Development,1.2T,286,--,15 office locations
281,Adecco Group,3.6,10000+ Employees,HR Consulting,1.5T,127,712,3 office locations
282,HT Media,3.6,1001 to 5000 Employees,Publishing,598,525,1,4 office locations
283,Coditas,3.9,501 to 1000 Employees,Information Technology Support Services,408,539,13,"Headquarters in Pune, India"
284,Ivanti,3.8,1001 to 5000 Employees,Enterprise Software & Network Solutions,906,187,53,7 office locations
285,SPi Global ,3.5,10000+ Employees,Information Technology Support Services,699,444,3,2 office locations
286,Rentokil Initial,3.8,10000+ Employees,Building & Personnel Services,1.6T,68,1.5T,37 office locations
287,Paysafe,3.6,1001 to 5000 Employees,Financial Transaction Processing,1.2T,153,70,12 office locations
288,Episource ,3.6,5001 to 10000 Employees,Healthcare Services & Hospitals,470,414,34,6 office locations
289,Lockheed Martin,4.1,10000+ Employees,Aerospace & Defence,13.6T,21,4.1T,25 office locations
290,Satyam Venture Engineering Services,4.0,Unknown,Architectural & Engineering Services,421,393,89,4 office locations
291,EVRY India,4.0,1001 to 5000 Employees,Information Technology Support Services,452,316,13,3 office locations
292,Stantec,3.9,10000+ Employees,Architectural & Engineering Services,3T,73,2.4T,36 office locations
293,YES,4.4,1 to 50 Employees,"Civic, Welfare & Social Services",282,708,4,"Headquarters in Boston, United States"
294,BorgWarner,3.8,10000+ Employees,Transportation Equipment Manufacturing,1.7T,124,22,24 office locations
295,Indian Air Force,4.6,5001 to 10000 Employees,National Services & Agencies,656,701,--,"Headquarters in New Delhi, India"
296,Allsec,3.5,1001 to 5000 Employees,Wholesale,641,459,18,4 office locations
297,PharmEasy,3.5,1001 to 5000 Employees,Internet & Web Services,414,658,--,7 office locations
298,UNICEF,4.0,10000+ Employees,"Civic, Welfare & Social Services",1.9T,136,110,3 United Nations Plaza 
299,Nitor Infotech,4.1,501 to 1000 Employees,Information Technology Support Services,479,307,12,"Rhine Block, Embassy Tech Zone, Hinjawadi Phase - 2 "
300,3Pillar Global,3.7,1001 to 5000 Employees,Computer Hardware Development,670,237,27,12 office locations
301,GreyOrange,3.5,501 to 1000 Employees,Enterprise Software & Network Solutions,484,413,14,7 office locations
302,PeopleStrong Technologies,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,606,464,15,9 office locations
303,ACT Fibernet,4.0,5001 to 10000 Employees,"Cable, Internet & Telephone Providers",534,513,6,"Headquarters in Bengaluru, India"
304,Accentue,4.1,Unknown,N/A,621,506,--,N/A
305,Total Quality Logistics,4.1,5001 to 10000 Employees,Shipping & Trucking,7.4T,64,594,60 office locations
306,LKQ,3.8,10000+ Employees,Automotive Parts & Accessories Stores,1.1T,181,817,3 office locations
307,ZoomInfo,4.0,1001 to 5000 Employees,Software Development,1.5T,114,102,12 office locations
308,BOLD,4.1,501 to 1000 Employees,Internet & Web Services,499,274,63,2 office locations
309,CWT,3.5,10000+ Employees,Travel Agencies,1.6T,142,104,27 office locations
310,Manulife,3.9,10000+ Employees,Investment & Asset Management,4.8T,60,1.6T,25 office locations
311,GAVS Technologies,3.8,201 to 500 Employees,Enterprise Software & Network Solutions,494,450,16,7 office locations
312,Daimler India Commercial Vehicles,3.8,1001 to 5000 Employees,Transportation Equipment Manufacturing,531,589,--,2 office locations
313,Freescale Semiconductor,4.1,10000+ Employees,Electronics Manufacturing,1T,179,--,8 office locations
314,Umbrella Corporation,4.4,1 to 50 Employees,Membership Organisations,254,55,78,7 office locations
315,Indra,3.8,10000+ Employees,Information Technology Support Services,5.7T,47,135,25 office locations
316,Air Products,4.1,10000+ Employees,Chemical Manufacturing,1.4T,126,817,20 office locations
317,Nous Infosystems,4.1,1001 to 5000 Employees,Software Development,543,444,29,5 office locations
318,Performics,3.9,1001 to 5000 Employees,Advertising & Public Relations,679,357,12,5 office locations
319,RWS Group,3.6,5001 to 10000 Employees,"Translation, Interpretation & Linguistic Services",1.1T,215,125,6 office locations
320,DP World,3.8,10000+ Employees,Marine Transportation,711,251,299,3 office locations
321,Adient,3.8,10000+ Employees,Transportation Equipment Manufacturing,1.2T,179,248,22 office locations
322,Zocdoc,3.7,501 to 1000 Employees,Internet & Web Services,717,140,17,4 office locations
323,Birdeye,4.2,501 to 1000 Employees,Internet & Web Services,785,234,62,3 office locations
324,Scotiabank,3.9,10000+ Employees,Banking & Lending,11.3T,18,1.2T,"Headquarters in Toronto, Canada"
325,Anand Rathi,3.6,5001 to 10000 Employees,Investment & Asset Management,515,573,62,2 office locations
326,Aditya Birla Fashion & Retail,3.9,1 to 50 Employees,N/A,506,642,--,"Headquarters in Mumbai, India"
327,D-Mart,4.0,1001 to 5000 Employees,General Merchandise & Superstores,504,604,32,"Headquarters in Thāne, India"
328,Annalect,4.2,501 to 1000 Employees,Enterprise Software & Network Solutions,486,403,186,10 office locations
329,MSL,3.6,1001 to 5000 Employees,Advertising & Public Relations,722,280,24,"Headquarters in Paris, France"
330,Risk Management Solutions,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,738,232,--,12 office locations
331,IIT Kharagpur,4.3,1001 to 5000 Employees,Colleges & Universities,656,611,--,2 office locations
332,WNS-Vuram,4.6,501 to 1000 Employees,Information Technology Support Services,415,270,--,"Headquarters in Chennai, India"
333,ArcelorMittal,4.0,10000+ Employees,Metal & Mineral Manufacturing,4.4T,56,1.1T,20 office locations
334,Aviva,3.7,10000+ Employees,Insurance Carriers,2.6T,82,437,27 office locations
335,People Group,4.4,1001 to 5000 Employees,Internet & Web Services,386,242,5,3 office locations
336,Asian Paints,3.7,1001 to 5000 Employees,Home Furniture & Housewares Stores,1.8T,2T,12,"Headquarters in Mumbai, India"
337,Bookmyshow,3.9,501 to 1000 Employees,Ticket Sales,472,515,24,3 office locations
338,Chargebee,3.8,501 to 1000 Employees,Internet & Web Services,382,500,6,6 office locations
339,Wissen Infotech,3.9,501 to 1000 Employees,Information Technology Support Services,406,377,2,"Headquarters in Hyderābād, India"
340,HARMAN,3.9,10000+ Employees,Consumer Product Manufacturing,5.3T,3.7T,594,60 office locations
341,Kotak Mahindra Bank,3.6,10000+ Employees,Banking & Lending,5.2T,5.4T,4.3T,26 office locations
342,Paytm,3.5,10000+ Employees,Internet & Web Services,4.4T,5.5T,173,5 office locations
343,Robert Bosch India,4.1,Unknown,Machinery Manufacturing,4.6T,4.7T,71,"Stuttgart, 01"
344,Starbucks,3.6,10000+ Employees,Restaurants & Cafes,71.2T,350,24.2T,10 office locations
345,Boeing,3.9,10000+ Employees,Aerospace & Defence,16.1T,873,1.8T,25 office locations
346,ITC Infotech,3.8,10000+ Employees,Information Technology Support Services,5T,4.6T,26,30 office locations
347,CBRE,3.9,10000+ Employees,Real Estate,12T,1.4T,2.6T,25 office locations
348,Intuit,4.4,10000+ Employees,Software Development,10.8T,1.2T,543,18 office locations
349,Nestlé,4.1,Unknown,Food & Beverage Manufacturing,15.7T,1T,2.4T,37 office locations
350,Wiley Edge,4.0,501 to 1000 Employees,Information Technology Support Services,794,114,20,10 office locations
351,Berkadia,4.2,1001 to 5000 Employees,Real Estate,538,295,18,61 office locations
352,Cinépolis,3.8,1001 to 5000 Employees,Culture & Entertainment,1.9T,112,486,36 office locations
353,Bristol Myers Squibb,3.8,10000+ Employees,Biotech & Pharmaceuticals,4.9T,33,739,33 office locations
354,Sandvik,4.2,10000+ Employees,Machinery Manufacturing,1.1T,190,404,23 office locations
355,PVH Corp.,3.6,10000+ Employees,"Department, Clothing & Shoe Stores",2.2T,68,1.6T,6 office locations
356,MagicBricks,3.5,1001 to 5000 Employees,Internet & Web Services,697,552,31,3 office locations
357,ITC Hotels,4.1,1001 to 5000 Employees,Hotels & Resorts,547,493,--,"Headquarters in New Delhi, India"
358,Vertafore,3.8,1001 to 5000 Employees,Enterprise Software & Network Solutions,994,146,19,7 office locations
359,Colruyt Group,3.9,10000+ Employees,Food & Beverage Stores,1.3T,136,1.3T,"Headquarters in Halle, Belgium"
360,Mahindra Holidays & Resorts,3.6,5001 to 10000 Employees,Hotels & Resorts,622,490,--,13 office locations
361,ERM,3.6,5001 to 10000 Employees,Business Consulting,1.7T,119,423,28 office locations
362,Clifford Chance,4.1,5001 to 10000 Employees,Legal,929,185,108,26 office locations
363,Tata Capital,3.7,1001 to 5000 Employees,Investment & Asset Management,502,545,2.7T,10 office locations
364,Vector Marketing,4.4,501 to 1000 Employees,Advertising & Public Relations,7.7T,81,24,25 office locations
365,Financial Software & Systems,3.5,1001 to 5000 Employees,Information Technology Support Services,518,484,48,10 office locations
366,Agilysys,3.7,1001 to 5000 Employees,Hotels & Resorts,540,339,30,6 office locations
367,Ujjivan,3.8,10000+ Employees,Banking & Lending,449,456,123,5 office locations
368,Uneecops Technologies,3.9,201 to 500 Employees,Information Technology Support Services,278,192,--,6 office locations
369,Quick Heal,3.7,1001 to 5000 Employees,Enterprise Software & Network Solutions,563,435,4,"Headquarters in Pune, India"
370,AOL,3.9,5001 to 10000 Employees,Publishing,1.6T,94,1,15 office locations
371,Union Bank of India,3.9,10000+ Employees,Banking & Lending,545,581,--,"Headquarters in Mumbai, India"
372,GoDaddy,3.5,5001 to 10000 Employees,Internet & Web Services,2.9T,61,32,10 office locations
373,Carrefour,3.7,10000+ Employees,General Merchandise & Superstores,12.7T,31,7.3T,3 office locations
374,V-Soft Consulting Group,3.9,501 to 1000 Employees,HR Consulting,356,116,--,9 office locations
375,PwC Canada,3.9,5001 to 10000 Employees,Business Consulting,2.1T,82,116,"Headquarters in Toronto, Canada"
376,VIT University,4.1,1001 to 5000 Employees,Colleges & Universities,640,441,--,"Vellore, TN"
377,Interactive Brokers,3.8,1001 to 5000 Employees,Investment & Asset Management,618,174,145,6 office locations
378,AXISCADES,3.5,1001 to 5000 Employees,Architectural & Engineering Services,452,350,20,3 office locations
379,PubMatic,4.3,501 to 1000 Employees,Internet & Web Services,493,332,21,5 office locations
380,Minacs,3.7,10000+ Employees,HR Consulting,886,191,--,"Headquarters in Fremont, United States"
381,Evision Technoserve,4.8,51 to 200 Employees,N/A,626,600,--,"Headquarters in New Delhi, India"
382,Leverage Edu,4.4,1001 to 5000 Employees,Colleges & Universities,698,413,--,2 office locations
383,SanDisk,3.9,10000+ Employees,Consumer Product Manufacturing,652,138,597,"Headquarters in Milpitas, United States"
384,Model N,3.9,501 to 1000 Employees,Enterprise Software & Network Solutions,473,163,26,5 office locations
385,NEXT,3.6,10000+ Employees,"Department, Clothing & Shoe Stores",7T,42,53,2 office locations
386,Hogarth Worldwide,3.6,1001 to 5000 Employees,Advertising & Public Relations,1.2T,163,154,6 office locations
387,SOTI,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,632,233,56,12 office locations
388,ING,4.1,10000+ Employees,Investment & Asset Management,5.1T,41,1.7T,26 office locations
389,Shoppers Stop,3.8,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",570,495,--,"Headquarters in Mumbai, India"
390,Qualcomm Technologies,4.0,Unknown,Internet & Web Services,616,311,--,"Headquarters in San Diego, United States"
391,Timken,3.7,10000+ Employees,Machinery Manufacturing,862,196,172,23 office locations
392,ABC Supply Co.,4.0,10000+ Employees,Wholesale,1.3T,188,345,25 office locations
393,Textron,3.8,10000+ Employees,Aerospace & Defence,995,129,170,20 office locations
394,PhysicsWallah,4.2,5001 to 10000 Employees,Education Support & Training Services,501,564,--,"Headquarters in Noida, India"
395,Newfold Digital,3.5,1001 to 5000 Employees,Internet & Web Services,579,325,51,"Headquarters in Jacksonville, United States"
396,RMSI (India),3.6,501 to 1000 Employees,Information Technology Support Services,560,499,27,4 office locations
397,Clearwater Analytics,3.5,1001 to 5000 Employees,Investment & Asset Management,620,177,82,8 office locations
398,Gemalto,3.8,10000+ Employees,Computer Hardware Development,1.2T,130,--,27 office locations
399,Advantmed,4.2,1001 to 5000 Employees,Healthcare Services & Hospitals,639,330,42,5 office locations
400,Betsol ,3.8,501 to 1000 Employees,Enterprise Software & Network Solutions,364,385,24,2 office locations
401,DNV,4.0,10000+ Employees,Energy & Utilities,1.5T,107,5.1T,25 office locations
402,CoinDCX,4.2,201 to 500 Employees,Investment & Asset Management,252,227,16,2 office locations
403,LiveRamp,3.6,1001 to 5000 Employees,Software Development,665,174,54,11 office locations
404,Maxim Integrated,3.9,5001 to 10000 Employees,Electronics Manufacturing,1.2T,98,--,18 office locations
405,OodlesTechnologies,3.7,501 to 1000 Employees,Information Technology Support Services,483,401,16,3 office locations
406,Megha Engineering and Infrastructure,3.9,1001 to 5000 Employees,Construction,474,542,--,"Headquarters in Hyderābād, India"
407,Course Hero,4.0,201 to 500 Employees,Internet & Web Services,1.6T,104,15,4 office locations
408,RAM,3.7,51 to 200 Employees,Business Consulting,435,424,24,"Headquarters in Kuala Lumpur, Malaysia"
409,Kennametal,3.6,5001 to 10000 Employees,Machinery Manufacturing,715,238,155,25 office locations
410,Sephora,3.7,10000+ Employees,Beauty & Personal Accessories Stores,9.4T,32,2.2T,3 office locations
411,Andritz,4.0,10000+ Employees,Machinery Manufacturing,1T,154,725,26 office locations
412,Avon,4.0,10000+ Employees,Consumer Product Manufacturing,4.2T,48,48,11 office locations
413,dsm-firmenich,3.9,10000+ Employees,Chemical Manufacturing,1.6T,90,448,27 office locations
414,Technip Energies,3.9,10000+ Employees,Energy & Utilities,680,305,5,"Headquarters in Nanterre, France"
415,Diverse Lynx,4.4,1001 to 5000 Employees,Software Development,319,501,6,7 office locations
416,Deluxe,3.6,Unknown,Culture & Entertainment,580,396,28,"Headquarters in Burbank, United States"
417,TÜV SÜD,4.0,10000+ Employees,Business Consulting,1T,181,1.5T,23 office locations
418,Tata AIA Life,4.0,1001 to 5000 Employees,Insurance Carriers,478,528,1.5T,5 office locations
419,Prolifics,3.6,1001 to 5000 Employees,Information Technology Support Services,486,296,22,6 office locations
420,Replicon,4.1,501 to 1000 Employees,Enterprise Software & Network Solutions,437,295,9,5 office locations
421,Private Practice,4.3,1 to 50 Employees,N/A,976,189,156,"Headquarters in Atlanta, United States"
422,Marsh,3.9,10000+ Employees,Insurance Agencies & Brokerages,1.8T,84,3,25 office locations
423,Inspirisys Solutions Limited,4.2,1001 to 5000 Employees,Information Technology Support Services,551,440,14,"First Floor, Dowlath Towers, New Door Nos. 57, 59, 61 & 63, Taylors Road, Kilpauk "
424,LSI,3.7,10000+ Employees,Electronics Manufacturing,704,164,--,12 office locations
425,Metacube Software Pvt. Ltd.,4.0,501 to 1000 Employees,Enterprise Software & Network Solutions,426,454,--,"Headquarters in Jaipur, India"
426,TK Elevator,3.6,10000+ Employees,Machinery Manufacturing,1.6T,97,645,23 office locations
427,L.E.K. Consulting,4.0,1001 to 5000 Employees,Business Consulting,1.2T,93,22,19 office locations
428,Rockstar Games,4.3,1001 to 5000 Employees,Video Game Publishing,545,242,152,6 office locations
429,Gi Group Holding,3.9,10000+ Employees,HR Consulting,1.3T,90,7.4T,26 office locations
430,Fujitsu,3.7,10000+ Employees,Enterprise Software & Network Solutions,6.5T,1.4T,2.7T,51 office locations
431,Randstad,3.8,501 to 1000 Employees,HR Consulting,9.8T,1.3T,97.7T,14 office locations
432,KPIT Technologies,3.9,5001 to 10000 Employees,Information Technology Support Services,4.3T,3.6T,119,21 office locations
433,Meta,3.9,10000+ Employees,Internet & Web Services,17.6T,515,2.8T,21 office locations
